"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2023-11-28 06:58:54.555Z",  25425084, 867500000,0, 5,"CRC_BAD", 32,"LORA",125000,"SF7"   ,"4/7",-127,-11.5,"51DCD6D3-2D0B3BEF-A2E308A4-2F422157-895174A6-B1896FA0-EC3A5D3F-8F9C35EA"
"AA555A0000000101","","2023-11-28 06:59:03.654Z",  34522812, 867500000,0, 5,"CRC_BAD",174,"LORA",125000,"SF7"   ,"2/3",-127,-11.8,"40CA3664-CB6140A0-BA70919C-0612504B-E535D48F-8F6804EA-0E6673E2-71510A57-5B5FC680-3641855D-2B3E9040-112CD502-62D7BD2D-91512648-97780835-4CF7754A-74534DFC-AC175917-78AD12C9-91A9BCBF-F4D80B65-FD05BD13-C2F79641-A3F3F1ED-20FCB4DE-88AE2B3C-E23F2DD2-FB0C3852-5DAB8D3F-5A47556E-68A7EFA1-E8613241-E38DA4B8-EF593707-3BC0DF7F-BBBE01FD-208903F4-2FD4B675-DA737FE9-4DEBCAB8-9C54312A-6ECFA0FC-52929AF6-9F5D"
